,Round,Test Accuracy,Confusion Matrix
10,10,0.6847,"[[682, 26, 34, 26, 30, 16, 14, 29, 81, 62], [11, 797, 3, 8, 10, 6, 14, 9, 21, 121], [48, 2, 494, 82, 98, 101, 91, 50, 15, 19], [12, 11, 34, 478, 54, 247, 83, 46, 9, 26], [12, 6, 49, 68, 627, 42, 60, 115, 16, 5], [8, 5, 19, 154, 48, 653, 36, 55, 5, 17], [3, 8, 16, 68, 51, 53, 766, 15, 11, 9], [5, 2, 20, 44, 66, 82, 8, 751, 3, 19], [55, 41, 9, 15, 9, 13, 8, 6, 792, 52], [17, 76, 7, 24, 8, 7, 14, 13, 27, 807]]"
11,11,0.6881,"[[698, 21, 44, 24, 33, 15, 16, 20, 92, 37], [14, 808, 6, 12, 10, 8, 17, 6, 29, 90], [49, 3, 562, 61, 95, 86, 83, 38, 11, 12], [12, 7, 54, 462, 54, 257, 91, 36, 8, 19], [16, 5, 86, 65, 636, 41, 51, 80, 16, 4], [6, 3, 36, 153, 47, 655, 34, 50, 4, 12], [4, 8, 31, 68, 50, 46, 771, 11, 8, 3], [10, 1, 28, 58, 90, 79, 7, 716, 1, 10], [56, 39, 17, 22, 10, 14, 7, 1, 806, 28], [28, 88, 12, 26, 7, 7, 16, 18, 31, 767]]"
12,12,0.6889,"[[714, 25, 43, 11, 30, 9, 14, 13, 95, 46], [18, 822, 4, 5, 6, 2, 12, 3, 32, 96], [59, 7, 566, 46, 107, 70, 64, 33, 18, 30], [17, 11, 70, 428, 78, 218, 91, 41, 18, 28], [21, 7, 74, 55, 650, 23, 55, 87, 23, 5], [12, 6, 52, 165, 57, 585, 31, 60, 13, 19], [2, 9, 29, 53, 65, 34, 758, 16, 19, 15], [19, 4, 28, 38, 80, 62, 7, 740, 4, 18], [61, 39, 8, 11, 8, 5, 4, 2, 826, 36], [20, 80, 11, 16, 10, 3, 11, 12, 37, 800]]"
13,13,0.6929,"[[752, 28, 34, 16, 17, 10, 17, 17, 63, 46], [15, 852, 3, 6, 6, 4, 9, 6, 16, 83], [69, 9, 517, 64, 112, 81, 76, 40, 13, 19], [20, 19, 46, 448, 65, 238, 77, 49, 12, 26], [20, 7, 62, 61, 626, 35, 61, 104, 16, 8], [9, 6, 35, 145, 45, 644, 29, 65, 8, 14], [4, 10, 22, 59, 51, 44, 771, 19, 10, 10], [18, 5, 22, 37, 69, 54, 6, 768, 2, 19], [81, 59, 6, 18, 6, 11, 7, 3, 766, 43], [21, 103, 10, 19, 9, 6, 11, 12, 24, 785]]"
14,14,0.6968,"[[769, 24, 32, 15, 21, 9, 13, 13, 78, 26], [22, 843, 4, 6, 6, 4, 16, 7, 25, 67], [80, 5, 556, 46, 107, 72, 75, 34, 12, 13], [28, 16, 55, 439, 69, 218, 101, 40, 14, 20], [27, 4, 81, 50, 647, 35, 66, 73, 14, 3], [16, 6, 56, 148, 52, 614, 44, 46, 7, 11], [4, 9, 33, 40, 52, 34, 802, 10, 9, 7], [25, 4, 25, 32, 86, 68, 11, 734, 1, 14], [75, 36, 13, 10, 10, 8, 7, 1, 813, 27], [35, 105, 10, 18, 10, 5, 18, 15, 33, 751]]"
15,15,0.6954,"[[750, 28, 31, 11, 15, 8, 12, 16, 95, 34], [21, 833, 7, 2, 4, 3, 16, 6, 30, 78], [83, 6, 566, 52, 97, 48, 80, 39, 14, 15], [29, 15, 61, 463, 73, 187, 94, 41, 18, 19], [28, 5, 90, 52, 644, 25, 54, 80, 18, 4], [16, 6, 63, 168, 57, 566, 35, 62, 12, 15], [6, 9, 36, 45, 51, 32, 789, 14, 11, 7], [22, 2, 38, 42, 71, 43, 10, 755, 1, 16], [66, 32, 9, 13, 5, 7, 7, 3, 825, 33], [31, 98, 14, 11, 10, 2, 16, 14, 41, 763]]"
16,16,0.7005,"[[766, 24, 40, 21, 19, 7, 16, 14, 69, 24], [22, 836, 7, 9, 7, 3, 19, 5, 29, 63], [62, 3, 585, 67, 88, 59, 82, 29, 13, 12], [20, 10, 53, 510, 56, 185, 98, 36, 15, 17], [22, 4, 80, 63, 619, 27, 83, 83, 17, 2], [17, 4, 50, 185, 53, 583, 37, 50, 11, 10], [4, 7, 26, 55, 40, 32, 808, 13, 10, 5], [19, 2, 31, 61, 76, 56, 12, 728, 2, 13], [75, 37, 11, 12, 8, 6, 8, 1, 820, 22], [24, 98, 14, 27, 5, 6, 22, 15, 39, 750]]"
17,17,0.6976,"[[755, 39, 27, 11, 16, 6, 11, 11, 95, 29], [9, 868, 5, 6, 6, 2, 8, 1, 38, 57], [77, 17, 569, 63, 73, 61, 80, 31, 19, 10], [26, 22, 59, 496, 57, 165, 103, 32, 21, 19], [39, 9, 76, 54, 610, 25, 84, 82, 17, 4], [21, 13, 47, 200, 50, 560, 39, 44, 13, 13], [10, 11, 28, 55, 34, 25, 804, 13, 13, 7], [30, 7, 21, 53, 72, 49, 12, 734, 4, 18], [60, 38, 6, 13, 7, 2, 7, 1, 851, 15], [25, 133, 10, 20, 4, 3, 15, 10, 51, 729]]"
18,18,0.699,"[[786, 28, 25, 20, 17, 7, 9, 18, 65, 25], [26, 848, 5, 4, 10, 4, 10, 6, 25, 62], [77, 8, 577, 59, 89, 60, 61, 44, 11, 14], [29, 12, 60, 488, 60, 186, 81, 48, 22, 14], [29, 6, 86, 54, 626, 33, 48, 105, 11, 2], [21, 7, 58, 178, 50, 566, 26, 72, 11, 11], [8, 10, 34, 54, 47, 33, 781, 16, 11, 6], [22, 4, 27, 34, 64, 42, 9, 783, 1, 14], [81, 42, 11, 13, 5, 7, 4, 4, 811, 22], [36, 127, 16, 26, 6, 2, 13, 18, 32, 724]]"
19,19,0.7023,"[[720, 28, 41, 20, 19, 9, 12, 14, 77, 60], [13, 840, 7, 5, 8, 5, 18, 6, 15, 83], [57, 6, 544, 90, 100, 60, 71, 42, 11, 19], [16, 13, 31, 529, 65, 191, 74, 43, 15, 23], [21, 7, 62, 70, 635, 33, 67, 94, 7, 4], [8, 8, 42, 204, 46, 580, 30, 62, 5, 15], [3, 7, 19, 61, 43, 26, 808, 18, 9, 6], [12, 3, 13, 48, 72, 51, 12, 769, 1, 19], [54, 47, 9, 25, 7, 10, 6, 3, 798, 41], [15, 89, 8, 22, 7, 4, 13, 15, 27, 800]]"
20,20,0.6967,"[[777, 33, 27, 17, 10, 8, 12, 15, 73, 28], [15, 869, 6, 6, 5, 4, 15, 7, 21, 52], [80, 7, 535, 82, 77, 82, 80, 32, 11, 14], [28, 15, 38, 507, 49, 209, 85, 32, 18, 19], [31, 9, 68, 72, 576, 47, 97, 81, 16, 3], [15, 9, 33, 186, 40, 614, 37, 42, 12, 12], [9, 8, 24, 65, 28, 32, 804, 14, 11, 5], [23, 5, 22, 49, 54, 74, 12, 744, 1, 16], [65, 45, 9, 21, 3, 6, 5, 2, 819, 25], [38, 136, 9, 25, 3, 6, 18, 13, 30, 722]]"
21,21,0.7016,"[[724, 31, 34, 14, 29, 10, 10, 15, 66, 67], [10, 803, 6, 5, 7, 7, 18, 7, 16, 121], [57, 3, 532, 64, 133, 63, 71, 46, 12, 19], [13, 10, 45, 465, 94, 206, 80, 47, 15, 25], [13, 4, 46, 37, 701, 34, 47, 105, 11, 2], [8, 3, 47, 155, 65, 608, 29, 64, 5, 16], [2, 7, 24, 53, 64, 29, 789, 14, 8, 10], [13, 3, 18, 31, 73, 54, 7, 779, 2, 20], [58, 50, 13, 14, 17, 7, 5, 4, 772, 60], [19, 58, 8, 12, 14, 2, 12, 14, 18, 843]]"
22,22,0.7046,"[[748, 34, 19, 10, 24, 6, 7, 13, 81, 58], [10, 862, 3, 3, 4, 4, 9, 2, 17, 86], [81, 15, 499, 70, 123, 72, 56, 40, 18, 26], [27, 18, 31, 480, 77, 204, 56, 46, 22, 39], [23, 9, 49, 39, 663, 32, 45, 111, 17, 12], [15, 6, 29, 170, 54, 601, 24, 63, 11, 27], [8, 13, 17, 71, 51, 31, 760, 18, 13, 18], [21, 5, 11, 33, 65, 52, 8, 769, 4, 32], [58, 47, 4, 11, 2, 5, 3, 6, 816, 48], [20, 74, 5, 13, 4, 2, 3, 12, 19, 848]]"
23,23,0.7035,"[[723, 35, 34, 22, 25, 13, 14, 19, 79, 36], [6, 865, 5, 9, 7, 5, 13, 4, 16, 70], [62, 3, 540, 83, 108, 74, 77, 30, 9, 14], [20, 12, 31, 560, 66, 180, 74, 31, 10, 16], [19, 8, 52, 77, 643, 30, 65, 92, 10, 4], [11, 5, 33, 248, 49, 562, 28, 47, 6, 11], [4, 7, 16, 74, 40, 31, 804, 12, 7, 5], [11, 6, 17, 56, 66, 61, 9, 761, 1, 12], [66, 50, 11, 24, 7, 6, 7, 5, 794, 30], [16, 92, 10, 31, 9, 5, 9, 14, 31, 783]]"
24,24,0.7056,"[[743, 48, 17, 13, 17, 6, 8, 10, 93, 45], [7, 896, 3, 5, 2, 0, 8, 0, 17, 62], [78, 15, 557, 75, 77, 54, 65, 36, 16, 27], [28, 25, 41, 511, 64, 186, 66, 31, 23, 25], [34, 14, 62, 62, 611, 33, 70, 80, 21, 13], [19, 13, 41, 189, 44, 589, 28, 44, 10, 23], [9, 17, 23, 63, 34, 33, 785, 11, 17, 8], [26, 10, 26, 38, 57, 49, 10, 748, 1, 35], [51, 61, 3, 14, 7, 2, 2, 0, 825, 35], [17, 124, 9, 12, 5, 2, 2, 8, 30, 791]]"
25,25,0.7029,"[[752, 24, 34, 10, 17, 10, 21, 14, 85, 33], [14, 859, 6, 4, 4, 3, 20, 5, 25, 60], [76, 6, 589, 47, 68, 59, 101, 28, 10, 16], [30, 10, 50, 472, 56, 179, 143, 30, 14, 16], [27, 5, 86, 48, 590, 31, 119, 74, 17, 3], [18, 6, 53, 175, 42, 576, 71, 42, 7, 10], [5, 6, 25, 32, 23, 24, 874, 5, 4, 2], [24, 3, 32, 36, 67, 66, 21, 729, 3, 19], [67, 34, 8, 13, 6, 4, 10, 2, 822, 34], [29, 99, 10, 11, 3, 2, 30, 12, 38, 766]]"
26,26,0.7087,"[[757, 21, 34, 20, 19, 10, 6, 10, 71, 52], [9, 845, 7, 8, 5, 5, 12, 8, 21, 80], [68, 4, 560, 77, 91, 88, 51, 33, 9, 19], [24, 8, 35, 514, 69, 224, 60, 36, 15, 15], [18, 9, 62, 63, 634, 53, 47, 97, 14, 3], [12, 1, 28, 167, 59, 651, 20, 43, 6, 13], [9, 9, 28, 84, 41, 44, 758, 14, 10, 3], [15, 1, 17, 37, 65, 76, 9, 760, 0, 20], [68, 34, 9, 21, 10, 9, 4, 1, 810, 34], [26, 68, 10, 26, 6, 4, 10, 13, 39, 798]]"
27,27,0.7136,"[[736, 26, 39, 17, 18, 8, 10, 12, 91, 43], [7, 848, 7, 8, 6, 4, 13, 6, 32, 69], [49, 4, 631, 78, 67, 58, 54, 29, 14, 16], [27, 8, 54, 546, 54, 187, 62, 29, 17, 16], [23, 7, 93, 77, 601, 42, 64, 72, 17, 4], [15, 3, 52, 193, 42, 610, 27, 37, 7, 14], [6, 5, 35, 74, 33, 39, 783, 11, 9, 5], [19, 1, 33, 47, 59, 69, 11, 740, 1, 20], [48, 36, 10, 18, 5, 6, 5, 2, 848, 22], [26, 76, 12, 22, 4, 5, 9, 13, 40, 793]]"
28,28,0.712,"[[725, 25, 34, 21, 30, 8, 9, 15, 94, 39], [9, 856, 6, 5, 10, 5, 13, 3, 30, 63], [57, 2, 604, 64, 80, 56, 74, 38, 11, 14], [20, 6, 48, 511, 71, 197, 80, 34, 20, 13], [20, 8, 74, 51, 644, 40, 68, 76, 17, 2], [10, 3, 47, 168, 52, 630, 37, 38, 8, 7], [7, 8, 26, 67, 26, 40, 802, 13, 8, 3], [17, 1, 30, 31, 78, 65, 14, 748, 2, 14], [44, 38, 12, 15, 6, 7, 6, 4, 844, 24], [20, 97, 15, 30, 5, 7, 11, 13, 46, 756]]"
29,29,0.7144,"[[768, 22, 24, 11, 28, 10, 9, 13, 74, 41], [13, 859, 6, 6, 4, 3, 14, 1, 30, 64], [76, 4, 534, 58, 110, 78, 70, 39, 12, 19], [27, 11, 36, 447, 80, 245, 82, 32, 20, 20], [18, 7, 53, 40, 672, 41, 59, 88, 17, 5], [17, 3, 27, 130, 71, 658, 33, 41, 9, 11], [5, 8, 13, 53, 43, 35, 816, 14, 8, 5], [20, 3, 16, 25, 66, 70, 13, 766, 1, 20], [61, 36, 7, 10, 9, 7, 8, 3, 837, 22], [29, 85, 5, 19, 4, 7, 10, 11, 43, 787]]"
30,30,0.7075,"[[780, 32, 24, 8, 13, 5, 9, 7, 85, 37], [11, 865, 5, 4, 3, 1, 6, 2, 35, 68], [69, 13, 591, 63, 66, 55, 55, 39, 23, 26], [35, 17, 46, 521, 60, 152, 70, 33, 38, 28], [40, 8, 92, 62, 598, 29, 48, 85, 23, 15], [27, 6, 44, 211, 42, 547, 33, 45, 21, 24], [9, 17, 39, 66, 33, 23, 775, 10, 19, 9], [27, 12, 28, 36, 63, 50, 8, 740, 4, 32], [49, 35, 9, 11, 2, 0, 2, 2, 868, 22], [28, 96, 10, 11, 2, 3, 7, 7, 46, 790]]"
31,31,0.7124,"[[755, 27, 46, 15, 22, 8, 14, 14, 71, 28], [13, 850, 6, 5, 4, 2, 17, 4, 36, 63], [56, 1, 583, 47, 90, 60, 103, 30, 14, 16], [23, 9, 52, 472, 68, 183, 112, 42, 19, 20], [22, 4, 62, 42, 670, 26, 94, 64, 12, 4], [14, 4, 40, 155, 65, 595, 65, 44, 9, 9], [6, 5, 21, 45, 37, 20, 847, 7, 7, 5], [16, 5, 25, 29, 94, 60, 16, 735, 4, 16], [63, 32, 7, 16, 7, 3, 9, 4, 834, 25], [28, 75, 11, 20, 3, 7, 21, 13, 39, 783]]"
32,32,0.7163,"[[743, 26, 45, 13, 24, 9, 11, 17, 71, 41], [8, 850, 5, 8, 5, 3, 16, 6, 23, 76], [50, 2, 581, 52, 88, 86, 78, 33, 14, 16], [18, 7, 46, 485, 64, 217, 92, 43, 12, 16], [18, 7, 59, 44, 664, 44, 65, 82, 11, 6], [9, 4, 33, 147, 56, 647, 37, 53, 5, 9], [6, 5, 25, 51, 40, 36, 813, 15, 5, 4], [12, 3, 20, 28, 62, 72, 10, 779, 0, 14], [54, 44, 12, 19, 10, 8, 5, 3, 815, 30], [20, 83, 10, 23, 6, 8, 12, 16, 36, 786]]"
33,33,0.7155,"[[755, 21, 35, 13, 32, 12, 10, 14, 66, 42], [11, 860, 6, 4, 5, 2, 15, 6, 21, 70], [68, 2, 556, 47, 100, 59, 94, 49, 11, 14], [21, 10, 37, 472, 85, 173, 123, 51, 12, 16], [16, 7, 44, 39, 687, 28, 82, 83, 11, 3], [13, 4, 35, 184, 64, 574, 58, 54, 4, 10], [5, 3, 20, 39, 37, 17, 861, 11, 3, 4], [12, 3, 17, 29, 69, 59, 14, 782, 2, 13], [65, 38, 14, 16, 15, 3, 8, 3, 810, 28], [21, 76, 8, 19, 7, 7, 18, 13, 33, 798]]"
34,34,0.7177,"[[781, 19, 37, 16, 19, 6, 3, 9, 51, 59], [7, 823, 5, 5, 6, 6, 10, 6, 15, 117], [57, 3, 598, 58, 99, 65, 58, 34, 9, 19], [25, 9, 59, 501, 75, 189, 64, 37, 12, 29], [21, 5, 69, 43, 686, 34, 46, 80, 10, 6], [13, 4, 42, 184, 63, 595, 32, 44, 5, 18], [5, 6, 38, 62, 54, 29, 783, 8, 6, 9], [12, 3, 16, 32, 82, 61, 5, 765, 2, 22], [74, 32, 9, 17, 8, 2, 8, 4, 790, 56], [22, 52, 7, 14, 5, 7, 5, 10, 23, 855]]"
35,35,0.7206,"[[769, 26, 34, 19, 16, 7, 8, 11, 73, 37], [12, 863, 5, 7, 3, 6, 9, 3, 25, 67], [62, 4, 583, 64, 79, 85, 71, 27, 11, 14], [25, 10, 47, 536, 53, 204, 68, 27, 15, 15], [24, 8, 73, 73, 614, 54, 66, 65, 17, 6], [16, 3, 33, 179, 41, 642, 36, 33, 8, 9], [7, 6, 30, 61, 21, 39, 817, 10, 5, 4], [22, 3, 22, 50, 63, 70, 10, 744, 0, 16], [50, 32, 11, 22, 6, 3, 4, 2, 849, 21], [26, 85, 9, 24, 2, 10, 10, 7, 38, 789]]"
36,36,0.7145,"[[705, 28, 46, 18, 17, 5, 7, 19, 103, 52], [9, 864, 4, 7, 3, 2, 9, 1, 24, 77], [48, 11, 615, 72, 63, 45, 67, 45, 15, 19], [24, 11, 52, 538, 62, 138, 80, 51, 23, 21], [21, 9, 69, 65, 623, 28, 60, 99, 17, 9], [12, 3, 46, 235, 49, 531, 31, 62, 10, 21], [4, 7, 38, 67, 26, 22, 801, 18, 10, 7], [19, 8, 27, 41, 51, 46, 9, 775, 2, 22], [29, 39, 8, 16, 4, 0, 5, 2, 870, 27], [15, 71, 9, 17, 0, 5, 3, 9, 48, 823]]"
37,37,0.7164,"[[706, 26, 52, 26, 26, 11, 8, 14, 79, 52], [4, 849, 3, 11, 6, 7, 16, 4, 24, 76], [48, 2, 603, 68, 71, 69, 75, 37, 12, 15], [20, 7, 52, 553, 47, 204, 66, 27, 9, 15], [17, 3, 69, 87, 627, 50, 56, 77, 9, 5], [10, 2, 44, 199, 41, 627, 27, 38, 5, 7], [4, 6, 30, 81, 26, 37, 797, 12, 4, 3], [8, 4, 27, 50, 50, 75, 7, 762, 0, 17], [45, 32, 10, 27, 10, 9, 6, 0, 832, 29], [16, 68, 13, 27, 5, 9, 7, 13, 34, 808]]"
38,38,0.7136,"[[737, 26, 55, 12, 19, 5, 5, 12, 93, 36], [13, 866, 4, 9, 4, 2, 5, 1, 39, 57], [53, 5, 639, 67, 68, 50, 57, 35, 11, 15], [32, 10, 67, 529, 58, 159, 71, 41, 17, 16], [27, 6, 83, 66, 639, 33, 51, 76, 17, 2], [26, 4, 63, 192, 49, 563, 37, 46, 11, 9], [10, 9, 41, 78, 32, 20, 788, 11, 8, 3], [25, 4, 33, 36, 67, 54, 8, 754, 1, 18], [42, 29, 11, 19, 6, 1, 4, 3, 864, 21], [27, 110, 12, 16, 4, 6, 7, 9, 52, 757]]"
39,39,0.7164,"[[762, 24, 31, 20, 17, 10, 4, 17, 71, 44], [14, 855, 5, 13, 7, 5, 8, 3, 21, 69], [58, 4, 612, 84, 76, 52, 57, 35, 10, 12], [22, 6, 44, 562, 72, 161, 57, 46, 17, 13], [23, 7, 67, 75, 661, 34, 38, 78, 12, 5], [15, 3, 41, 228, 54, 560, 21, 65, 7, 6], [8, 5, 39, 93, 35, 28, 765, 16, 6, 5], [11, 4, 23, 44, 62, 57, 6, 779, 0, 14], [64, 39, 9, 25, 7, 2, 4, 3, 821, 26], [20, 84, 10, 21, 5, 9, 6, 11, 47, 787]]"
40,40,0.7211,"[[722, 26, 51, 23, 22, 5, 10, 11, 82, 48], [7, 851, 5, 9, 3, 2, 16, 5, 29, 73], [42, 3, 613, 64, 79, 51, 88, 32, 10, 18], [21, 9, 53, 546, 72, 143, 91, 35, 12, 18], [16, 5, 62, 58, 670, 21, 79, 70, 15, 4], [11, 3, 45, 215, 71, 547, 41, 51, 9, 7], [4, 4, 28, 63, 26, 18, 838, 13, 3, 3], [15, 5, 23, 52, 59, 41, 13, 772, 1, 19], [47, 31, 8, 22, 6, 1, 8, 2, 844, 31], [20, 64, 10, 21, 5, 5, 18, 9, 40, 808]]"
41,41,0.7199,"[[755, 26, 38, 17, 22, 6, 7, 19, 63, 47], [10, 850, 3, 8, 5, 6, 6, 4, 25, 83], [59, 7, 578, 70, 92, 68, 61, 36, 12, 17], [24, 7, 51, 512, 58, 198, 66, 50, 14, 20], [20, 7, 50, 56, 663, 45, 46, 95, 11, 7], [14, 3, 37, 181, 58, 616, 21, 54, 5, 11], [7, 7, 27, 66, 37, 27, 799, 17, 7, 6], [14, 5, 16, 41, 54, 53, 8, 795, 0, 14], [61, 42, 9, 19, 11, 2, 6, 3, 816, 31], [23, 68, 9, 13, 5, 7, 9, 12, 39, 815]]"
42,42,0.7202,"[[759, 25, 31, 24, 24, 10, 7, 13, 60, 47], [4, 865, 3, 15, 7, 5, 7, 3, 19, 72], [65, 5, 548, 80, 86, 88, 66, 40, 7, 15], [20, 8, 32, 512, 54, 253, 59, 36, 10, 16], [14, 12, 36, 67, 652, 59, 63, 81, 12, 4], [9, 4, 22, 155, 45, 696, 18, 43, 4, 4], [7, 4, 23, 85, 30, 45, 782, 14, 4, 6], [14, 6, 12, 41, 46, 87, 5, 772, 1, 16], [49, 46, 8, 26, 10, 8, 6, 5, 810, 32], [18, 85, 7, 26, 4, 9, 9, 10, 26, 806]]"
43,43,0.7219,"[[739, 36, 31, 17, 22, 6, 7, 13, 81, 48], [5, 867, 3, 6, 5, 1, 10, 2, 25, 76], [64, 11, 554, 58, 94, 72, 85, 32, 14, 16], [23, 15, 43, 513, 63, 174, 99, 33, 14, 23], [20, 9, 49, 61, 667, 30, 75, 65, 13, 11], [11, 4, 37, 195, 47, 605, 45, 41, 8, 7], [7, 6, 20, 53, 31, 20, 844, 7, 6, 6], [15, 9, 17, 43, 64, 61, 14, 755, 2, 20], [47, 41, 9, 17, 5, 1, 7, 1, 840, 32], [16, 74, 6, 10, 4, 5, 11, 7, 32, 835]]"
