01-31 17:25 WARNING  Partitioning data
02-01 06:32 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 06:37 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 06:42 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 06:47 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 06:52 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 06:52 WARNING  >>>>>>>>>>>>> in comm round: 15 from 50
02-01 06:57 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 07:02 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 07:07 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 07:12 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 07:17 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 07:21 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 07:26 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 07:31 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 07:35 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 07:40 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 07:45 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 07:45 WARNING  >>>>>>>>>>>>> in comm round: 16 from 50
02-01 07:50 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 07:55 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 08:00 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 08:05 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 08:10 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 08:15 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 08:19 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 08:24 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 08:29 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 08:34 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 08:39 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 08:39 WARNING  >>>>>>>>>>>>> in comm round: 17 from 50
02-01 08:44 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 08:49 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 08:54 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 08:59 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 09:03 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 09:08 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 09:13 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 09:18 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 09:22 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 09:27 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 09:32 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 09:33 WARNING  >>>>>>>>>>>>> in comm round: 18 from 50
02-01 09:38 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 09:43 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 09:48 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 09:53 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 09:58 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 10:03 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 10:08 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 10:13 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 10:19 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 10:24 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 10:28 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 10:29 WARNING  >>>>>>>>>>>>> in comm round: 19 from 50
02-01 10:33 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 10:42 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 10:47 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 10:53 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 10:59 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 11:05 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 11:10 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 11:16 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 11:21 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 11:26 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 11:31 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 11:32 WARNING  >>>>>>>>>>>>> in comm round: 20 from 50
02-01 11:37 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 11:42 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 11:47 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 11:52 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 11:59 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 12:05 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 12:10 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 12:16 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 12:22 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 12:27 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 12:37 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 12:38 WARNING  >>>>>>>>>>>>> in comm round: 21 from 50
02-01 12:45 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 12:49 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 12:54 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 12:59 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 13:04 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 13:08 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 13:14 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 13:19 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 13:23 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 13:28 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 13:33 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 13:33 WARNING  >>>>>>>>>>>>> in comm round: 22 from 50
02-01 13:38 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 13:43 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 13:48 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 13:53 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 13:59 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 14:04 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 14:09 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 14:14 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 14:19 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 14:25 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 14:30 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 14:30 WARNING  >>>>>>>>>>>>> in comm round: 23 from 50
02-01 14:35 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 14:39 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 14:44 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 14:49 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 14:54 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 14:59 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 15:04 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 15:09 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 15:13 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 15:19 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 15:24 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 15:24 WARNING  >>>>>>>>>>>>> in comm round: 24 from 50
02-01 15:29 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 15:34 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 15:39 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 15:44 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 15:48 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 15:53 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 15:58 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 16:03 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 16:08 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 16:12 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 16:17 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 16:17 WARNING  >>>>>>>>>>>>> in comm round: 25 from 50
02-01 16:23 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 16:27 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 16:32 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 16:37 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 16:42 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 16:46 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 16:51 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 16:57 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 17:02 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 17:08 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 17:13 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 17:13 WARNING  >>>>>>>>>>>>> in comm round: 26 from 50
02-01 17:18 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 17:23 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 17:29 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 17:34 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 17:39 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 17:43 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 17:48 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 17:54 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 17:59 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 18:04 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 18:09 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 18:09 WARNING  >>>>>>>>>>>>> in comm round: 27 from 50
02-01 18:14 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 18:19 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 18:24 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 18:28 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 18:34 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 18:39 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 18:44 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 18:49 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 18:54 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 18:59 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 19:04 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 19:04 WARNING  >>>>>>>>>>>>> in comm round: 28 from 50
02-01 19:09 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 19:14 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 19:18 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 19:23 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 19:29 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 19:34 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 19:38 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 19:43 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 19:48 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 19:53 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 19:58 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 19:58 WARNING  >>>>>>>>>>>>> in comm round: 29 from 50
02-01 20:03 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 20:08 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 20:13 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 20:18 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 20:23 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 20:28 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 20:33 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 20:38 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 20:43 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 20:48 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 20:52 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 20:53 WARNING  >>>>>>>>>>>>> in comm round: 30 from 50
02-01 20:58 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 21:02 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 21:07 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 21:12 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 21:17 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 21:21 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 21:26 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 21:31 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 21:36 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 21:41 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 21:45 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 21:46 WARNING  >>>>>>>>>>>>> in comm round: 31 from 50
02-01 21:50 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 21:55 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 22:00 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 22:05 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 22:09 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 22:14 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 22:19 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 22:23 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 22:28 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 22:33 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 22:38 WARNING  >>>>>>>>>>>>> DAISY chain 10
02-01 22:39 WARNING  >>>>>>>>>>>>> in comm round: 32 from 50
02-01 22:44 WARNING  >>>>>>>>>>>>> DAISY chain 0
02-01 22:49 WARNING  >>>>>>>>>>>>> DAISY chain 1
02-01 22:54 WARNING  >>>>>>>>>>>>> DAISY chain 2
02-01 22:59 WARNING  >>>>>>>>>>>>> DAISY chain 3
02-01 23:04 WARNING  >>>>>>>>>>>>> DAISY chain 4
02-01 23:08 WARNING  >>>>>>>>>>>>> DAISY chain 5
02-01 23:13 WARNING  >>>>>>>>>>>>> DAISY chain 6
02-01 23:18 WARNING  >>>>>>>>>>>>> DAISY chain 7
02-01 23:23 WARNING  >>>>>>>>>>>>> DAISY chain 8
02-01 23:28 WARNING  >>>>>>>>>>>>> DAISY chain 9
02-01 23:32 WARNING  >>>>>>>>>>>>> DAISY chain 10
