,Round,Daisy,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
10,10,10,1,0.53656,0.5713,"[[576, 48, 39, 19, 19, 13, 23, 24, 172, 67], [14, 744, 9, 14, 4, 8, 13, 5, 51, 138], [71, 17, 380, 76, 142, 98, 109, 50, 36, 21], [23, 24, 66, 322, 56, 248, 139, 59, 32, 31], [35, 16, 85, 52, 459, 58, 127, 128, 24, 16], [10, 10, 62, 155, 45, 510, 74, 84, 23, 27], [1, 13, 51, 60, 99, 36, 685, 27, 10, 18], [17, 13, 20, 40, 66, 101, 35, 662, 10, 36], [74, 65, 5, 14, 10, 19, 7, 6, 752, 48], [29, 202, 8, 15, 5, 12, 21, 25, 60, 623]]"
11,11,10,1,0.54766,0.5799,"[[622, 36, 41, 16, 14, 9, 21, 17, 156, 68], [23, 718, 7, 10, 2, 6, 12, 4, 54, 164], [81, 24, 414, 80, 100, 92, 99, 48, 39, 23], [35, 21, 67, 383, 51, 195, 121, 48, 41, 38], [46, 18, 105, 61, 429, 52, 128, 116, 29, 16], [21, 10, 73, 192, 36, 468, 66, 82, 26, 26], [4, 15, 50, 73, 70, 27, 703, 24, 13, 21], [24, 15, 22, 53, 57, 90, 33, 639, 12, 55], [89, 51, 7, 16, 3, 15, 7, 5, 757, 50], [28, 167, 7, 14, 5, 8, 21, 15, 69, 666]]"
12,12,10,1,0.55534,0.5882,"[[627, 33, 36, 20, 17, 12, 19, 19, 149, 68], [24, 748, 10, 11, 2, 7, 11, 5, 50, 132], [81, 21, 420, 74, 110, 97, 103, 40, 33, 21], [33, 21, 72, 349, 51, 224, 133, 45, 39, 33], [39, 13, 96, 62, 455, 56, 124, 116, 27, 12], [21, 10, 68, 175, 39, 495, 72, 76, 21, 23], [5, 17, 47, 68, 67, 30, 720, 19, 10, 17], [24, 13, 23, 47, 64, 93, 35, 650, 9, 42], [87, 54, 7, 11, 2, 20, 10, 6, 765, 38], [29, 178, 8, 14, 4, 12, 21, 17, 64, 653]]"
13,13,10,1,0.56294,0.5931,"[[623, 38, 38, 15, 18, 12, 22, 21, 136, 77], [23, 755, 5, 8, 3, 7, 10, 5, 36, 148], [77, 24, 396, 74, 109, 93, 128, 41, 34, 24], [26, 20, 57, 371, 50, 192, 160, 45, 36, 43], [33, 16, 92, 61, 452, 46, 146, 114, 25, 15], [19, 12, 58, 179, 46, 478, 89, 75, 22, 22], [4, 15, 41, 62, 56, 25, 752, 18, 8, 19], [19, 12, 17, 54, 63, 91, 36, 644, 10, 54], [84, 59, 5, 12, 1, 15, 13, 4, 753, 54], [23, 156, 7, 14, 4, 8, 21, 12, 48, 707]]"
14,14,10,1,0.56776,0.6007,"[[628, 34, 56, 16, 18, 13, 18, 19, 139, 59], [24, 741, 9, 10, 3, 7, 15, 5, 44, 142], [57, 16, 473, 65, 92, 89, 116, 40, 32, 20], [25, 17, 89, 366, 43, 206, 151, 42, 33, 28], [33, 12, 116, 65, 453, 46, 134, 108, 24, 9], [20, 8, 84, 178, 37, 497, 80, 63, 15, 18], [3, 16, 48, 63, 46, 28, 759, 13, 9, 15], [19, 10, 31, 52, 67, 96, 37, 642, 12, 34], [89, 51, 6, 15, 4, 17, 11, 5, 763, 39], [28, 153, 12, 17, 3, 7, 24, 18, 53, 685]]"
15,15,10,1,0.57794,0.605,"[[615, 29, 50, 19, 20, 12, 20, 24, 153, 58], [25, 745, 8, 8, 3, 6, 13, 5, 53, 134], [62, 16, 458, 67, 106, 87, 110, 41, 31, 22], [21, 16, 78, 390, 52, 195, 143, 43, 33, 29], [29, 13, 104, 63, 467, 42, 129, 114, 31, 8], [15, 9, 65, 194, 41, 498, 74, 65, 18, 21], [3, 14, 44, 65, 51, 25, 757, 15, 12, 14], [17, 9, 24, 55, 64, 95, 34, 653, 12, 37], [74, 50, 6, 17, 3, 16, 10, 4, 781, 39], [26, 145, 10, 18, 3, 8, 24, 15, 65, 686]]"
16,16,10,1,0.58444,0.6078,"[[654, 39, 43, 14, 13, 12, 18, 21, 125, 61], [25, 767, 8, 8, 2, 8, 8, 5, 42, 127], [75, 19, 440, 69, 99, 96, 102, 46, 33, 21], [35, 17, 71, 359, 46, 231, 127, 47, 36, 31], [42, 12, 96, 56, 458, 54, 123, 124, 27, 8], [28, 10, 60, 153, 37, 533, 67, 70, 21, 21], [9, 13, 40, 60, 55, 41, 738, 18, 11, 15], [23, 10, 24, 49, 56, 101, 28, 661, 12, 36], [94, 54, 5, 9, 1, 17, 9, 6, 764, 41], [29, 150, 9, 14, 4, 13, 15, 11, 51, 704]]"
17,17,10,1,0.58944,0.6153,"[[646, 34, 50, 20, 17, 14, 19, 24, 122, 54], [25, 768, 10, 12, 3, 4, 14, 6, 41, 117], [64, 13, 474, 79, 95, 89, 88, 48, 30, 20], [25, 15, 74, 402, 51, 213, 121, 46, 28, 25], [30, 11, 105, 62, 475, 48, 117, 118, 27, 7], [18, 9, 63, 177, 40, 533, 66, 63, 13, 18], [5, 9, 45, 78, 54, 34, 732, 18, 11, 14], [11, 8, 24, 59, 64, 94, 32, 666, 12, 30], [80, 52, 6, 17, 4, 17, 9, 8, 768, 39], [28, 152, 9, 17, 4, 10, 20, 17, 54, 689]]"
18,18,10,1,0.59476,0.6172,"[[659, 33, 53, 17, 16, 14, 17, 20, 121, 50], [26, 762, 9, 9, 4, 9, 12, 4, 43, 122], [65, 14, 484, 66, 96, 101, 87, 37, 31, 19], [20, 14, 74, 408, 49, 211, 125, 41, 31, 27], [31, 10, 110, 65, 488, 46, 114, 102, 27, 7], [19, 11, 62, 181, 40, 530, 67, 54, 18, 18], [7, 10, 48, 74, 60, 34, 733, 12, 11, 11], [13, 7, 25, 62, 78, 96, 25, 651, 9, 34], [83, 50, 6, 12, 4, 18, 9, 6, 773, 39], [31, 153, 10, 20, 5, 12, 20, 15, 50, 684]]"
19,19,10,1,0.59956,0.6221,"[[673, 37, 50, 19, 15, 10, 18, 19, 111, 48], [28, 795, 11, 12, 3, 3, 14, 5, 37, 92], [67, 13, 503, 67, 92, 75, 96, 39, 30, 18], [22, 16, 87, 416, 49, 185, 127, 45, 29, 24], [38, 11, 112, 57, 494, 37, 114, 107, 23, 7], [19, 13, 73, 194, 43, 496, 70, 58, 16, 18], [9, 12, 41, 72, 57, 26, 748, 13, 9, 13], [21, 7, 24, 59, 74, 89, 26, 657, 11, 32], [94, 56, 6, 19, 3, 10, 9, 5, 764, 34], [28, 166, 9, 17, 5, 8, 23, 16, 53, 675]]"
20,20,10,1,0.60522,0.6294,"[[662, 37, 53, 17, 12, 8, 16, 18, 115, 62], [21, 771, 8, 11, 3, 4, 9, 6, 33, 134], [57, 13, 487, 75, 90, 78, 95, 50, 31, 24], [20, 13, 68, 439, 50, 187, 112, 50, 28, 33], [31, 10, 90, 66, 501, 35, 114, 123, 20, 10], [19, 12, 57, 203, 41, 495, 60, 73, 20, 20], [10, 9, 34, 82, 59, 28, 734, 17, 8, 19], [14, 6, 21, 58, 59, 82, 24, 690, 9, 37], [80, 53, 6, 12, 3, 8, 11, 7, 776, 44], [27, 132, 8, 14, 3, 9, 15, 12, 41, 739]]"
21,21,10,1,0.60664,0.6294,"[[638, 30, 50, 25, 15, 12, 23, 19, 119, 69], [19, 770, 10, 10, 3, 5, 16, 4, 34, 129], [52, 11, 464, 74, 82, 90, 136, 41, 27, 23], [13, 10, 61, 439, 43, 201, 139, 46, 24, 24], [24, 9, 80, 67, 489, 37, 156, 109, 23, 6], [15, 10, 46, 200, 36, 522, 83, 62, 10, 16], [5, 6, 26, 70, 39, 26, 792, 13, 6, 17], [9, 4, 27, 65, 67, 84, 34, 665, 9, 36], [68, 46, 5, 21, 3, 10, 15, 6, 784, 42], [24, 128, 6, 20, 4, 11, 24, 14, 38, 731]]"
22,22,10,1,0.61028,0.6346,"[[646, 34, 50, 16, 20, 15, 17, 18, 126, 58], [20, 780, 11, 10, 4, 6, 12, 5, 39, 113], [62, 14, 491, 77, 97, 81, 85, 40, 30, 23], [21, 12, 69, 452, 47, 208, 99, 44, 23, 25], [25, 11, 91, 61, 543, 41, 85, 110, 27, 6], [16, 14, 49, 201, 39, 531, 55, 63, 14, 18], [10, 9, 34, 83, 64, 36, 727, 13, 9, 15], [18, 6, 27, 62, 68, 92, 23, 663, 7, 34], [70, 45, 5, 14, 2, 10, 12, 5, 796, 41], [21, 144, 8, 15, 6, 8, 18, 18, 45, 717]]"
23,23,10,1,0.61504,0.6378,"[[668, 30, 50, 19, 14, 15, 15, 16, 125, 48], [22, 781, 11, 10, 2, 5, 10, 5, 50, 104], [60, 10, 512, 75, 76, 96, 81, 39, 31, 20], [21, 13, 70, 425, 46, 242, 92, 41, 27, 23], [30, 9, 110, 58, 506, 52, 87, 118, 25, 5], [16, 8, 50, 157, 34, 583, 49, 65, 20, 18], [12, 9, 44, 80, 61, 36, 719, 15, 12, 12], [17, 6, 31, 55, 60, 99, 20, 670, 9, 33], [72, 38, 6, 17, 3, 14, 9, 5, 809, 27], [31, 139, 10, 15, 6, 8, 19, 16, 51, 705]]"
24,24,10,1,0.61716,0.6402,"[[655, 34, 45, 20, 22, 13, 15, 14, 119, 63], [19, 781, 10, 10, 2, 5, 13, 5, 38, 117], [59, 10, 496, 65, 88, 89, 106, 36, 27, 24], [24, 12, 70, 421, 55, 223, 106, 43, 21, 25], [23, 7, 96, 57, 538, 40, 114, 97, 21, 7], [20, 10, 48, 177, 40, 560, 57, 57, 13, 18], [10, 6, 31, 71, 56, 36, 760, 11, 5, 14], [17, 6, 30, 60, 73, 92, 22, 663, 5, 32], [69, 48, 5, 17, 4, 14, 13, 4, 787, 39], [21, 126, 9, 15, 8, 8, 18, 17, 37, 741]]"
25,25,10,1,0.61772,0.6421,"[[700, 26, 41, 18, 11, 11, 15, 15, 119, 44], [32, 780, 11, 10, 3, 7, 8, 5, 53, 91], [79, 12, 522, 69, 76, 78, 81, 33, 29, 21], [26, 11, 76, 441, 49, 219, 89, 41, 28, 20], [37, 5, 104, 59, 525, 50, 81, 104, 28, 7], [26, 7, 59, 171, 37, 563, 42, 58, 20, 17], [14, 9, 47, 84, 60, 33, 712, 16, 14, 11], [29, 4, 31, 63, 69, 87, 22, 660, 8, 27], [81, 38, 6, 13, 1, 12, 8, 3, 818, 20], [36, 134, 12, 14, 4, 7, 19, 14, 60, 700]]"
26,26,10,1,0.62566,0.6432,"[[670, 33, 47, 21, 17, 10, 16, 16, 125, 45], [20, 802, 10, 8, 4, 7, 8, 5, 43, 93], [63, 14, 514, 75, 90, 74, 87, 33, 28, 22], [22, 14, 80, 454, 53, 201, 92, 42, 23, 19], [24, 8, 108, 54, 540, 38, 87, 110, 24, 7], [18, 9, 49, 187, 45, 548, 50, 61, 17, 16], [12, 8, 46, 78, 65, 30, 729, 14, 8, 10], [19, 5, 34, 62, 71, 77, 25, 676, 8, 23], [72, 45, 7, 14, 3, 13, 9, 5, 806, 26], [28, 152, 12, 15, 4, 6, 21, 19, 50, 693]]"
27,27,10,1,0.62698,0.6467,"[[679, 36, 44, 22, 18, 12, 18, 16, 107, 48], [18, 816, 10, 8, 2, 9, 13, 5, 38, 81], [61, 10, 491, 70, 88, 83, 110, 41, 27, 19], [22, 14, 61, 446, 51, 218, 115, 39, 21, 13], [23, 7, 88, 59, 528, 38, 121, 113, 18, 5], [20, 6, 42, 184, 36, 555, 67, 60, 15, 15], [8, 9, 31, 67, 37, 29, 786, 16, 6, 11], [14, 5, 30, 65, 64, 87, 31, 672, 8, 24], [76, 44, 7, 20, 4, 13, 14, 3, 787, 32], [29, 147, 10, 20, 2, 12, 26, 18, 29, 707]]"
28,28,10,1,0.63026,0.6502,"[[670, 31, 60, 20, 15, 15, 20, 15, 97, 57], [19, 794, 11, 8, 4, 5, 14, 6, 38, 101], [57, 9, 526, 73, 81, 76, 99, 37, 24, 18], [22, 13, 79, 448, 46, 212, 100, 45, 17, 18], [24, 6, 109, 46, 549, 41, 100, 104, 17, 4], [19, 7, 53, 172, 43, 570, 63, 49, 9, 15], [8, 7, 42, 64, 51, 32, 764, 17, 6, 9], [14, 4, 36, 62, 72, 79, 23, 679, 8, 23], [79, 47, 8, 19, 5, 13, 14, 5, 778, 32], [25, 129, 9, 21, 4, 11, 24, 20, 33, 724]]"
29,29,10,1,0.6346,0.6541,"[[696, 25, 44, 20, 19, 14, 17, 15, 98, 52], [21, 787, 10, 8, 4, 7, 13, 6, 42, 102], [63, 8, 491, 71, 109, 75, 101, 43, 25, 14], [21, 13, 57, 447, 57, 233, 95, 45, 17, 15], [23, 5, 83, 49, 571, 40, 91, 117, 18, 3], [18, 6, 43, 161, 50, 580, 59, 57, 11, 15], [7, 8, 29, 65, 64, 33, 763, 16, 6, 9], [15, 4, 26, 58, 82, 80, 21, 687, 7, 20], [74, 42, 8, 18, 8, 13, 9, 4, 796, 28], [25, 124, 8, 23, 7, 10, 22, 21, 37, 723]]"
30,30,10,1,0.63314,0.6551,"[[696, 40, 47, 13, 16, 10, 15, 15, 96, 52], [21, 812, 11, 7, 4, 4, 9, 6, 36, 90], [70, 10, 536, 66, 91, 53, 92, 38, 27, 17], [31, 18, 84, 437, 57, 190, 91, 51, 23, 18], [26, 7, 98, 50, 557, 29, 91, 113, 22, 7], [20, 10, 62, 159, 50, 541, 55, 67, 19, 17], [8, 8, 43, 68, 49, 29, 758, 15, 8, 14], [16, 5, 38, 56, 75, 67, 21, 690, 9, 23], [75, 51, 12, 9, 2, 11, 11, 2, 794, 33], [18, 143, 13, 15, 4, 8, 19, 18, 32, 730]]"
31,31,10,1,0.6394,0.658,"[[695, 29, 46, 16, 17, 14, 16, 14, 97, 56], [18, 789, 7, 9, 4, 5, 8, 7, 45, 108], [65, 11, 498, 71, 87, 83, 93, 48, 26, 18], [27, 14, 60, 448, 48, 235, 80, 44, 24, 20], [24, 5, 81, 54, 546, 59, 81, 123, 21, 6], [19, 7, 38, 161, 45, 598, 43, 58, 14, 17], [7, 8, 30, 71, 52, 42, 752, 14, 10, 14], [19, 4, 26, 51, 61, 87, 19, 695, 9, 29], [75, 38, 9, 14, 4, 11, 11, 3, 805, 30], [25, 108, 8, 21, 4, 8, 19, 18, 35, 754]]"
32,32,10,1,0.64222,0.6579,"[[682, 24, 51, 20, 14, 12, 21, 14, 104, 58], [16, 789, 9, 8, 4, 5, 12, 7, 43, 107], [63, 8, 523, 80, 82, 65, 103, 34, 24, 18], [23, 12, 68, 458, 50, 199, 106, 42, 22, 20], [23, 6, 106, 48, 548, 31, 106, 110, 17, 5], [18, 7, 49, 189, 46, 550, 59, 56, 11, 15], [7, 6, 36, 61, 41, 30, 791, 10, 4, 14], [18, 3, 35, 66, 70, 71, 31, 676, 7, 23], [64, 38, 12, 19, 4, 12, 12, 4, 809, 26], [24, 108, 12, 22, 4, 8, 24, 12, 33, 753]]"
33,33,10,1,0.64256,0.6608,"[[690, 29, 45, 16, 18, 9, 15, 18, 103, 57], [21, 797, 7, 7, 3, 4, 10, 6, 38, 107], [66, 12, 510, 70, 97, 69, 99, 34, 22, 21], [28, 16, 69, 440, 55, 208, 93, 45, 21, 25], [27, 6, 77, 43, 567, 35, 104, 116, 16, 9], [18, 7, 46, 176, 49, 560, 52, 60, 14, 18], [9, 9, 30, 65, 47, 30, 779, 13, 7, 11], [15, 4, 31, 56, 68, 70, 24, 692, 8, 32], [69, 39, 12, 15, 2, 11, 11, 2, 805, 34], [21, 109, 10, 17, 4, 7, 18, 17, 29, 768]]"
34,34,10,1,0.64416,0.6655,"[[703, 25, 46, 20, 17, 10, 17, 15, 90, 57], [16, 798, 5, 7, 5, 5, 10, 7, 44, 103], [66, 11, 514, 67, 97, 62, 101, 39, 23, 20], [25, 17, 64, 422, 56, 233, 99, 43, 20, 21], [25, 6, 81, 40, 586, 39, 89, 113, 15, 6], [19, 7, 40, 144, 50, 594, 58, 57, 13, 18], [9, 8, 35, 51, 45, 37, 785, 10, 9, 11], [17, 5, 29, 54, 70, 74, 25, 690, 9, 27], [74, 40, 10, 15, 3, 12, 11, 4, 803, 28], [22, 107, 10, 17, 4, 7, 24, 16, 33, 760]]"
35,35,10,1,0.64718,0.663,"[[691, 34, 47, 23, 16, 8, 18, 15, 95, 53], [15, 828, 4, 5, 5, 4, 13, 7, 36, 83], [67, 13, 496, 78, 98, 74, 102, 32, 19, 21], [24, 17, 59, 444, 58, 216, 111, 35, 19, 17], [27, 5, 74, 44, 586, 41, 100, 103, 15, 5], [19, 7, 41, 173, 54, 574, 61, 43, 11, 17], [9, 5, 29, 57, 48, 33, 790, 11, 8, 10], [18, 4, 25, 58, 79, 77, 28, 678, 8, 25], [73, 39, 11, 14, 4, 10, 17, 3, 797, 32], [23, 124, 8, 20, 5, 8, 22, 15, 29, 746]]"
36,36,10,1,0.64626,0.6646,"[[718, 27, 50, 16, 13, 9, 15, 15, 89, 48], [21, 800, 7, 9, 4, 2, 11, 7, 45, 94], [67, 14, 526, 76, 94, 66, 84, 29, 25, 19], [29, 18, 74, 457, 55, 210, 82, 36, 23, 16], [25, 5, 84, 41, 599, 43, 81, 98, 19, 5], [19, 8, 53, 174, 46, 570, 45, 50, 17, 18], [11, 7, 41, 69, 54, 38, 751, 11, 9, 9], [21, 3, 38, 66, 73, 70, 19, 676, 7, 27], [79, 41, 10, 13, 4, 10, 10, 4, 804, 25], [27, 113, 15, 22, 3, 10, 21, 8, 36, 745]]"
37,37,10,1,0.64794,0.6635,"[[705, 32, 47, 16, 12, 6, 14, 13, 97, 58], [14, 834, 3, 5, 4, 1, 8, 6, 39, 86], [71, 16, 527, 76, 79, 59, 97, 28, 24, 23], [37, 20, 71, 455, 46, 181, 81, 47, 32, 30], [35, 5, 90, 45, 544, 28, 104, 115, 23, 11], [20, 14, 59, 178, 42, 536, 52, 59, 20, 20], [9, 12, 41, 65, 45, 25, 768, 11, 10, 14], [22, 6, 35, 59, 65, 59, 19, 689, 11, 35], [70, 41, 10, 8, 3, 9, 9, 2, 818, 30], [23, 126, 11, 15, 3, 6, 17, 9, 31, 759]]"
38,38,10,1,0.65134,0.6671,"[[725, 30, 40, 17, 12, 8, 18, 14, 85, 51], [16, 817, 4, 5, 4, 2, 12, 6, 37, 97], [71, 14, 492, 72, 97, 62, 110, 36, 23, 23], [30, 20, 58, 413, 51, 226, 107, 47, 24, 24], [29, 4, 69, 37, 572, 36, 118, 112, 19, 4], [20, 8, 44, 143, 48, 581, 61, 61, 15, 19], [10, 10, 29, 51, 45, 27, 797, 12, 8, 11], [17, 5, 27, 48, 68, 62, 28, 709, 7, 29], [81, 40, 9, 8, 3, 11, 13, 4, 805, 26], [29, 110, 11, 17, 4, 6, 24, 14, 25, 760]]"
39,39,10,1,0.6522,0.6693,"[[704, 26, 46, 21, 13, 7, 16, 15, 96, 56], [16, 811, 4, 6, 5, 1, 11, 4, 34, 108], [61, 13, 512, 74, 89, 69, 110, 28, 24, 20], [28, 18, 58, 468, 49, 194, 99, 39, 23, 24], [21, 5, 84, 45, 568, 34, 112, 109, 16, 6], [20, 11, 42, 183, 48, 564, 50, 53, 11, 18], [8, 10, 33, 66, 48, 26, 780, 10, 8, 11], [17, 3, 33, 64, 65, 62, 24, 692, 7, 33], [64, 38, 8, 8, 5, 8, 16, 3, 816, 34], [22, 97, 7, 18, 4, 7, 24, 13, 30, 778]]"
40,40,10,1,0.65214,0.669,"[[719, 31, 42, 18, 12, 8, 16, 14, 104, 36], [18, 832, 4, 6, 7, 3, 6, 6, 43, 75], [67, 13, 534, 78, 89, 65, 80, 30, 27, 17], [34, 19, 63, 460, 52, 202, 80, 40, 31, 19], [33, 5, 89, 40, 585, 44, 79, 97, 24, 4], [23, 9, 44, 171, 43, 570, 47, 56, 22, 15], [8, 9, 42, 71, 53, 28, 757, 10, 13, 9], [20, 2, 34, 62, 74, 64, 18, 688, 11, 27], [71, 36, 8, 11, 5, 11, 9, 3, 824, 22], [30, 133, 12, 21, 3, 6, 16, 16, 42, 721]]"
41,41,10,1,0.65746,0.6732,"[[716, 24, 43, 19, 16, 7, 15, 18, 86, 56], [17, 817, 6, 6, 6, 5, 8, 8, 34, 93], [66, 14, 512, 73, 101, 62, 97, 32, 21, 22], [26, 19, 66, 439, 60, 215, 93, 42, 20, 20], [23, 4, 76, 36, 608, 35, 82, 117, 15, 4], [18, 7, 48, 162, 46, 570, 52, 66, 13, 18], [9, 8, 35, 62, 56, 30, 772, 10, 8, 10], [13, 3, 28, 60, 71, 61, 18, 711, 8, 27], [72, 37, 9, 8, 5, 9, 16, 3, 812, 29], [21, 100, 10, 20, 4, 7, 21, 16, 26, 775]]"
42,42,10,1,0.65558,0.6713,"[[715, 25, 41, 19, 12, 8, 16, 16, 98, 50], [21, 822, 5, 7, 5, 2, 10, 5, 33, 90], [67, 16, 512, 73, 89, 70, 98, 37, 21, 17], [22, 17, 61, 440, 50, 223, 99, 39, 26, 23], [27, 5, 78, 37, 569, 44, 104, 112, 19, 5], [17, 6, 49, 157, 44, 587, 57, 50, 17, 16], [8, 6, 37, 53, 48, 28, 792, 10, 8, 10], [17, 4, 31, 68, 63, 65, 18, 698, 8, 28], [69, 39, 9, 12, 3, 7, 16, 4, 813, 28], [26, 109, 9, 18, 4, 7, 20, 13, 29, 765]]"
