,Round,Daisy,Epoch,Train Accuracy,Test Accuracy,Confusion Matrix
10,10,10,10,0.63254,0.6335,"[[637, 39, 49, 24, 25, 10, 24, 16, 129, 47], [28, 790, 6, 11, 13, 5, 10, 5, 39, 93], [61, 14, 507, 88, 118, 53, 93, 25, 26, 15], [23, 21, 58, 465, 89, 175, 92, 34, 20, 23], [31, 13, 69, 52, 608, 28, 90, 83, 21, 5], [21, 9, 47, 235, 62, 459, 77, 46, 24, 20], [6, 12, 46, 80, 87, 22, 713, 14, 10, 10], [15, 5, 31, 78, 116, 64, 27, 630, 4, 30], [60, 41, 8, 27, 15, 8, 10, 7, 794, 30], [22, 121, 12, 25, 6, 7, 21, 9, 45, 732]]"
11,11,10,10,0.63424,0.633,"[[626, 30, 52, 25, 32, 12, 23, 22, 132, 46], [24, 762, 5, 13, 11, 7, 13, 9, 47, 109], [58, 8, 478, 79, 144, 66, 93, 34, 22, 18], [19, 16, 65, 450, 85, 191, 97, 36, 19, 22], [28, 6, 50, 51, 627, 34, 90, 88, 19, 7], [9, 8, 41, 226, 71, 489, 71, 48, 19, 18], [3, 6, 42, 76, 90, 29, 722, 12, 9, 11], [11, 8, 29, 72, 107, 71, 24, 645, 4, 29], [53, 35, 9, 29, 21, 9, 8, 8, 793, 35], [20, 115, 10, 26, 9, 9, 20, 11, 42, 738]]"
12,12,10,10,0.64128,0.6336,"[[646, 30, 49, 24, 25, 17, 22, 20, 125, 42], [25, 760, 6, 11, 12, 6, 14, 9, 45, 112], [60, 9, 500, 78, 113, 73, 99, 29, 20, 19], [23, 16, 55, 450, 70, 201, 111, 34, 19, 21], [29, 8, 68, 55, 587, 31, 106, 91, 17, 8], [20, 3, 40, 221, 69, 495, 73, 44, 17, 18], [4, 7, 49, 76, 78, 33, 729, 9, 6, 9], [12, 6, 31, 69, 101, 72, 26, 646, 6, 31], [61, 36, 9, 31, 19, 11, 8, 8, 780, 37], [20, 119, 12, 22, 6, 10, 19, 10, 39, 743]]"
13,13,10,10,0.63652,0.637,"[[675, 24, 43, 25, 31, 14, 28, 18, 104, 38], [31, 766, 3, 12, 12, 7, 14, 9, 47, 99], [63, 10, 488, 81, 124, 69, 96, 32, 19, 18], [23, 14, 55, 462, 84, 175, 115, 32, 17, 23], [22, 7, 60, 58, 622, 27, 95, 84, 21, 4], [19, 7, 43, 220, 78, 469, 81, 46, 17, 20], [4, 5, 47, 72, 78, 26, 743, 10, 5, 10], [13, 5, 34, 69, 123, 65, 20, 636, 4, 31], [73, 37, 11, 28, 20, 6, 8, 7, 776, 34], [24, 113, 11, 25, 8, 8, 25, 9, 44, 733]]"
14,14,10,10,0.63972,0.6353,"[[661, 30, 39, 24, 27, 17, 21, 23, 125, 33], [24, 794, 3, 11, 11, 6, 12, 10, 48, 81], [66, 12, 486, 81, 133, 64, 86, 36, 20, 16], [26, 18, 58, 449, 87, 186, 98, 38, 18, 22], [30, 8, 55, 48, 630, 30, 76, 92, 23, 8], [18, 7, 43, 219, 68, 493, 63, 52, 21, 16], [5, 7, 48, 79, 103, 39, 690, 10, 7, 12], [15, 6, 33, 67, 108, 66, 18, 653, 4, 30], [66, 38, 9, 23, 18, 7, 7, 9, 794, 29], [26, 144, 12, 28, 6, 6, 17, 12, 46, 703]]"
15,15,10,10,0.64142,0.6332,"[[632, 28, 48, 25, 39, 15, 28, 21, 127, 37], [26, 766, 4, 11, 13, 6, 12, 12, 49, 101], [60, 9, 489, 84, 130, 68, 95, 29, 21, 15], [23, 15, 58, 447, 91, 185, 102, 34, 24, 21], [25, 7, 56, 53, 643, 33, 80, 79, 20, 4], [16, 5, 40, 229, 79, 476, 77, 42, 17, 19], [2, 5, 46, 72, 96, 34, 719, 10, 5, 11], [13, 5, 35, 60, 126, 73, 19, 634, 5, 30], [55, 39, 13, 23, 20, 10, 9, 8, 791, 32], [21, 119, 12, 27, 6, 9, 19, 12, 40, 735]]"
16,16,10,10,0.63968,0.6363,"[[673, 27, 36, 23, 25, 16, 26, 22, 116, 36], [29, 770, 4, 13, 16, 4, 10, 10, 43, 101], [64, 6, 482, 90, 128, 65, 90, 33, 24, 18], [25, 13, 58, 457, 79, 173, 110, 37, 23, 25], [27, 6, 64, 60, 617, 31, 88, 77, 26, 4], [21, 4, 42, 245, 73, 460, 69, 52, 16, 18], [5, 8, 48, 74, 88, 33, 719, 6, 7, 12], [13, 5, 31, 69, 124, 71, 19, 633, 6, 29], [64, 35, 11, 18, 20, 9, 7, 7, 800, 29], [25, 104, 11, 29, 6, 5, 14, 10, 44, 752]]"
17,17,10,10,0.64108,0.6369,"[[652, 35, 36, 28, 27, 16, 31, 20, 116, 39], [24, 790, 3, 10, 13, 7, 13, 10, 45, 85], [69, 9, 462, 92, 133, 68, 104, 24, 20, 19], [21, 15, 59, 486, 85, 170, 96, 31, 17, 20], [26, 7, 58, 58, 628, 28, 85, 80, 25, 5], [17, 5, 40, 231, 77, 470, 69, 55, 15, 21], [4, 9, 42, 78, 82, 40, 722, 7, 7, 9], [14, 10, 29, 66, 117, 69, 21, 641, 4, 29], [61, 37, 6, 25, 19, 8, 11, 7, 797, 29], [26, 131, 9, 31, 5, 6, 17, 13, 41, 721]]"
18,18,10,10,0.64422,0.6359,"[[637, 32, 46, 23, 31, 13, 27, 21, 131, 39], [27, 761, 2, 11, 13, 5, 12, 10, 56, 103], [58, 9, 469, 87, 141, 64, 96, 32, 25, 19], [21, 13, 63, 464, 80, 184, 94, 32, 24, 25], [21, 6, 57, 51, 620, 28, 98, 85, 26, 8], [15, 6, 37, 226, 74, 483, 64, 55, 20, 20], [2, 10, 51, 70, 81, 45, 716, 7, 6, 12], [14, 5, 28, 61, 111, 73, 19, 653, 5, 31], [53, 34, 9, 22, 15, 8, 11, 7, 811, 30], [26, 107, 8, 33, 6, 7, 13, 12, 43, 745]]"
19,19,10,10,0.64376,0.6342,"[[644, 30, 49, 25, 33, 15, 30, 21, 109, 44], [24, 758, 5, 15, 24, 6, 12, 11, 41, 104], [62, 7, 476, 98, 135, 63, 91, 33, 18, 17], [22, 8, 54, 486, 84, 170, 103, 32, 19, 22], [25, 5, 64, 56, 618, 26, 97, 80, 22, 7], [16, 6, 34, 234, 85, 473, 65, 56, 14, 17], [4, 8, 49, 80, 76, 35, 724, 7, 5, 12], [11, 8, 29, 60, 122, 75, 21, 639, 5, 30], [58, 34, 12, 25, 21, 12, 12, 7, 777, 42], [19, 105, 10, 36, 7, 6, 18, 14, 38, 747]]"
20,20,10,10,0.64476,0.635,"[[655, 31, 52, 24, 32, 13, 31, 19, 105, 38], [24, 768, 5, 15, 20, 4, 11, 10, 43, 100], [66, 7, 464, 89, 146, 59, 100, 33, 15, 21], [19, 12, 62, 458, 95, 177, 100, 36, 20, 21], [23, 8, 61, 50, 635, 30, 89, 73, 24, 7], [17, 8, 41, 215, 86, 481, 63, 56, 15, 18], [6, 10, 45, 72, 85, 42, 713, 10, 5, 12], [14, 5, 27, 60, 120, 69, 23, 648, 4, 30], [59, 35, 14, 25, 21, 11, 12, 8, 776, 39], [24, 114, 7, 26, 8, 7, 14, 12, 36, 752]]"
21,21,10,10,0.64282,0.6354,"[[639, 34, 44, 20, 32, 15, 28, 18, 123, 47], [23, 786, 3, 15, 13, 5, 12, 9, 44, 90], [64, 6, 460, 87, 152, 63, 101, 27, 19, 21], [21, 18, 55, 453, 96, 160, 115, 31, 24, 27], [26, 7, 58, 45, 644, 29, 100, 62, 22, 7], [16, 7, 39, 224, 79, 470, 72, 59, 17, 17], [6, 9, 36, 61, 81, 42, 739, 7, 6, 13], [13, 7, 29, 58, 124, 72, 24, 634, 6, 33], [52, 37, 12, 25, 18, 9, 12, 5, 793, 37], [22, 126, 9, 27, 8, 11, 12, 10, 39, 736]]"
22,22,10,10,0.64432,0.6367,"[[638, 31, 47, 21, 35, 14, 29, 19, 118, 48], [25, 760, 3, 12, 15, 8, 13, 10, 40, 114], [66, 6, 462, 91, 147, 55, 95, 36, 16, 26], [16, 15, 57, 466, 98, 173, 87, 38, 20, 30], [27, 6, 62, 54, 617, 31, 88, 87, 21, 7], [16, 5, 38, 218, 82, 476, 60, 69, 18, 18], [5, 9, 44, 70, 88, 43, 713, 8, 6, 14], [12, 4, 30, 53, 105, 65, 20, 673, 6, 32], [54, 36, 13, 27, 15, 9, 11, 8, 786, 41], [18, 100, 8, 24, 8, 7, 9, 10, 40, 776]]"
23,23,10,10,0.64468,0.6374,"[[655, 31, 40, 16, 32, 18, 27, 22, 111, 48], [25, 771, 6, 12, 13, 7, 9, 10, 42, 105], [70, 8, 458, 80, 146, 66, 97, 35, 17, 23], [21, 16, 50, 445, 87, 195, 97, 34, 22, 33], [28, 7, 63, 56, 610, 34, 87, 86, 22, 7], [15, 6, 40, 197, 71, 504, 65, 66, 16, 20], [7, 11, 40, 73, 82, 49, 709, 10, 5, 14], [15, 5, 29, 60, 98, 70, 17, 671, 4, 31], [57, 33, 9, 21, 18, 10, 12, 6, 795, 39], [21, 114, 7, 24, 9, 8, 11, 14, 36, 756]]"
24,24,10,10,0.64782,0.6349,"[[647, 27, 43, 17, 31, 16, 30, 18, 111, 60], [24, 756, 4, 14, 17, 7, 11, 10, 43, 114], [61, 6, 462, 79, 136, 77, 103, 34, 19, 23], [19, 12, 55, 422, 87, 211, 112, 34, 22, 26], [29, 7, 62, 50, 590, 41, 110, 80, 23, 8], [15, 5, 38, 191, 72, 516, 69, 57, 19, 18], [6, 7, 45, 59, 68, 52, 738, 5, 7, 13], [11, 7, 30, 64, 103, 74, 18, 658, 5, 30], [52, 37, 8, 26, 15, 14, 13, 4, 789, 42], [21, 102, 9, 22, 11, 11, 8, 10, 35, 771]]"
